0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
180,NABINAGAR SG PKG UNIT-1 (3X660 MW),CENTRAL,0,31-01-13,BIHAR,SG WITH ESP,PSER,NPGCL (NTPC-BSEB JV),31-01-14,14-06-14,N.A.,N.A.,31-12-14,31-08-15,31-08-15,17-12-16,31-07-16,16-07-17,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-16,22-09-17,14-10-16,22-12-17,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-16,14-01-19,31-01-17,29-03-19,31-01-17,12-07-19,31-01-17,12-07-19,31-03-17,08-10-19,N.A.,N.A.
181,TANDA ESP PACKAGE(2X660 MW) UNIT-5,CENTRAL,0,18-08-15,UTTAR PRADESH,ESP PACKAGE ONLY,PSNR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-08-17,31-12-18,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-02-18,09-06-19,18-06-18,14-09-19,18-06-18,28-09-19,18-06-18,28-09-19,18-06-18,15-11-19,N.A.,N.A.
182,DARLIPALLI SG & ESP PKG UNIT-1 (2X800 MW),CENTRAL,0,17-02-14,ORISSA,SG WITH ESP,PSSR,NTPC ,17-04-15,08-04-15,N.A.,N.A.,02-11-15,17-04-16,16-08-16,13-10-17,16-04-17,28-10-18,N.A.,N.A.,26-04-17,12-11-18,06-05-17,24-11-18,16-05-17,27-12-18,16-06-17,12-02-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-08-17,04-04-19,16-10-17,02-10-19,16-10-17,30-12-19,16-10-17,01-03-20,16-11-17,31-03-20,N.A.,N.A.
183,BHADRADRI (MANUGURU) (4X270 MW) TPS UNIT-1,STATE,270,21-03-15,TELANGANA,EPC,PSWR,TSGENCO,15-09-17,15-09-17,31-12-17,06-01-18,N.A.,N.A.,31-05-18,17-08-18,18-08-18,25-03-19,N.A.,N.A.,17-09-18,10-05-19,26-09-18,19-05-19,01-11-18,28-06-19,25-11-18,23-07-19,N.A.,N.A.,15-03-18,31-05-18,15-03-18,01-09-18,15-10-18,13-02-19,16-10-18,14-02-19,10-11-18,02-04-19,15-11-18,15-04-19,N.A.,N.A.,14-01-19,19-09-19,16-01-19,20-03-20,18-01-19,05-06-20,18-01-19,05-06-20,30-01-19,16-06-20,N.A.,N.A.
184,BHADRADRI (MANUGURU) (4X270 MW) TPS UNIT-2,STATE,270,21-03-15,TELANGANA,EPC,PSWR,TSGENCO,15-10-17,12-01-18,31-01-18,28-03-18,N.A.,N.A.,30-06-18,04-11-18,18-09-18,19-10-19,N.A.,N.A.,17-10-18,21-10-19,26-10-18,24-10-19,01-12-18,09-02-20,25-12-18,21-02-20,N.A.,N.A.,15-04-18,03-01-19,15-04-18,12-03-19,15-11-18,03-07-19,16-11-18,19-06-19,10-12-18,25-09-19,15-12-18,23-10-19,N.A.,N.A.,14-02-19,03-07-20,16-02-19,23-11-20,18-02-19,07-12-20,18-02-19,07-12-20,28-02-19,17-12-20,N.A.,N.A.
185,NEYVELI NEW THERMAL POWER PROJECT UNIT-2 (2X500 MW),CENTRAL,500,31-10-13,TAMILNADU,BTG + CIVIL,PSSR,NLCIL,30-06-15,28-03-16,N.A.,N.A.,30-12-15,07-01-17,30-12-16,10-12-18,30-10-17,30-05-19,N.A.,N.A.,05-11-17,04-06-19,15-11-17,15-06-19,15-12-17,20-08-19,30-12-17,26-09-19,N.A.,N.A.,25-04-16,01-06-16,N.A.,N.A.,11-07-17,21-08-17,05-08-17,01-06-18,21-08-17,21-09-18,31-10-17,10-07-19,N.A.,N.A.,31-01-18,26-02-20,28-03-18,31-01-21,31-03-18,03-02-21,31-03-18,03-02-21,30-04-18,03-04-21,N.A.,N.A.
186,GADARWARA UNIT-2 (2X800 MW),CENTRAL,800,22-03-13,MADHYA PRADESH,BTG,PSNR,NTPC,22-07-14,10-04-15,N.A.,N.A.,01-03-15,11-04-16,22-11-15,28-10-17,10-07-16,31-12-18,22-07-16,09-01-19,N.A.,N.A.,N.A.,N.A.,22-08-16,05-04-19,22-09-16,23-12-19,N.A.,N.A.,22-05-15,03-07-17,22-07-15,03-07-17,22-05-16,18-01-19,30-05-16,08-11-18,22-07-16,22-01-19,22-08-16,31-03-19,N.A.,N.A.,22-11-16,26-08-20,22-01-17,19-01-21,22-01-17,15-02-21,22-01-17,01-03-21,22-02-17,15-03-21,N.A.,N.A.
187,BHADRADRI (MANUGURU) (4X270 MW) TPS UNIT-3,STATE,270,21-03-15,TELANGANA,EPC,PSWR,TSGENCO,15-11-17,11-01-18,28-02-18,28-03-18,N.A.,N.A.,31-07-18,28-11-18,18-10-18,30-12-19,N.A.,N.A.,17-11-18,18-01-20,26-11-18,22-01-20,01-01-19,28-10-20,25-01-19,08-11-20,N.A.,N.A.,15-05-18,05-03-19,15-05-18,20-06-19,15-12-18,24-02-20,16-12-18,21-01-20,10-01-19,20-06-20,15-01-19,01-09-20,N.A.,N.A.,05-02-19,15-01-21,13-02-19,20-03-21,16-02-19,26-03-21,16-02-19,26-03-21,31-03-19,,N.A.,N.A.
188,LARA (ESP PKG) UNIT-2 (2X800 MW),CENTRAL,0,31-12-13,CHHATISHGARH,ESP PACKAGE ONLY,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-10-16,14-02-20,30-12-16,09-07-20,30-12-16,12-07-20,30-12-16,12-07-20,30-04-17,15-10-20,N.A.,N.A.
189,TANDA ESP PACKAGE(2X660 MW) UNIT-6,CENTRAL,0,18-08-15,UTTAR PRADESH,ESP PACKAGE ONLY,PSNR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-02-18,08-01-21,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-08-18,23-03-21,18-12-18,28-03-21,18-12-18,31-03-21,18-12-18,01-07-21,18-12-18,15-11-21,N.A.,N.A.
190,NABINAGAR SG PKG UNIT-2 (3X660 MW),CENTRAL,0,31-01-13,BIHAR,SG WITH ESP,PSER,NPGCL (NTPC-BSEB JV),31-07-14,29-11-14,N.A.,N.A.,30-06-15,20-02-16,29-02-16,11-12-17,31-01-17,15-09-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-03-17,11-11-19,14-04-17,24-12-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-05-17,12-02-20,31-07-17,24-03-21,31-07-17,31-03-21,31-07-17,23-07-21,30-09-17,12-08-21,N.A.,N.A.
191,SURATGARH UNIT-8 (2X660 MW),STATE,660,28-03-13,RAJSTHAN,EPC,PSER,RRVUNL,28-06-14,25-06-14,N.A.,N.A.,,01-04-15,28-11-15,15-03-16,28-05-16,28-09-17,N.A.,N.A.,20-06-16,26-09-18,12-07-16,06-10-18,10-08-16,04-03-19,29-08-16,07-06-19,N.A.,N.A.,15-03-15,28-06-15,N.A.,N.A.,15-06-16,09-11-17,17-06-16,04-09-17,28-07-16,18-08-18,31-08-16,05-02-19,N.A.,N.A.,28-09-16,23-03-21,28-10-16,30-08-21,28-11-16,06-10-21,28-11-16,07-10-21,28-11-16,06-10-21,28-12-16,31-03-22
192,NABINAGAR UNIT-4 (4X250 MW ),CENTRAL,250,22-01-08,BIHAR,BTG,PSER,BRBCL,29-02-12,07-12-12,30-06-12,16-09-13,N.A.,N.A.,31-03-13,28-04-19,31-08-13,04-11-20,N.A.,N.A.,03-09-13,09-11-20,08-09-13,13-11-20,10-09-13,23-07-21,30-09-13,05-08-21,N.A.,N.A.,30-11-12,01-05-19,31-01-13,25-06-19,30-09-13,23-07-21,03-10-13,15-10-20,31-10-13,23-07-21,10-11-13,24-08-21,N.A.,N.A.,30-11-13,20-09-21,28-02-14,30-10-21,28-02-14,10-11-21,28-02-14,01-12-21,28-02-14,04-01-22,28-02-14,31-03-22
193,DARLIPALLI SG & ESP PKG UNIT-2 (2X800 MW),CENTRAL,0,17-02-14,ORISSA,SG WITH ESP,PSSR,NTPC ,17-08-15,24-07-15,N.A.,N.A.,02-03-16,13-07-16,16-12-16,04-12-18,16-08-17,24-10-19,N.A.,N.A.,06-09-17,04-01-20,14-09-17,08-01-20,16-09-17,10-12-20,16-10-17,24-01-21,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-12-17,23-03-21,16-02-18,24-05-21,16-02-18,21-07-21,16-02-18,01-09-21,16-03-18,30-09-21,16-03-18,
194,BARH STG-I PCP PACKAGE (3X660 MW) UNIT-1,CENTRAL,0,22-05-15,BIHAR,PCP ,PSER,NTPC,23-10-15,28-04-16,N.A.,N.A.,N.A.,N.A.,30-11-15,10-04-19,22-02-16,15-08-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-05-16,27-09-20,N.A.,N.A.,22-06-16,30-10-21,22-06-16,30-10-20,22-06-16,30-10-21,N.A.,N.A.
195,BARH STG-I PCP PACKAGE (3X660 MW) UNIT-2,CENTRAL,0,22-05-15,BIHAR,PCP,PSER,NTPC,23-04-16,20-08-16,N.A.,N.A.,N.A.,N.A.,30-05-16,10-01-21,22-08-16,31-01-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-11-16,15-04-22,22-12-16,27-04-22,22-12-16,30-04-22,22-12-16,30-04-22,22-12-16,31-05-22,N.A.,N.A.
196,BARH STG-I PCP PACKAGE (3X660 MW) UNIT-3,CENTRAL,0,22-05-15,BIHAR,PCP,PSER,NTPC,23-10-16,01-03-18,N.A.,N.A.,N.A.,N.A.,30-11-16,,22-04-17,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-05-17,,22-06-17,,22-06-17,,22-06-17,,22-07-17,,N.A.,N.A.
197,BHADRADRI (MANUGURU) (4X270 MW) TPS UNIT-4,STATE,270,21-03-15,TELANGANA,EPC,PSWR,TSGENCO,14-11-17,08-03-18,28-02-18,21-08-18,N.A.,N.A.,30-07-18,16-02-20,17-10-18,16-04-21,N.A.,N.A.,10-11-18,10-07-21,17-11-18,13-07-21,25-01-19,09-09-21,15-02-19,23-09-21,N.A.,N.A.,14-05-18,24-12-19,14-05-18,17-12-19,14-12-18,01-02-21,10-04-19,29-01-21,10-05-19,05-04-21,14-01-19,25-05-21,N.A.,N.A.,01-03-19,13-10-21,12-03-19,02-01-22,15-03-19,09-01-22,15-03-19,09-01-22,31-03-19,31-01-22,N.A.,N.A.
198,BHUSAWAL UNIT-6 (1X660 MW),STATE,660,31-12-18,MAHARASTRA,EPC INCLUDING FGD & SCR EXCLUDING SWITCHYARD,PSWR,MAHAGENCO,30-11-19,22-11-19,N.A.,N.A.,30-06-20,20-01-21,31-05-21,30-06-22,30-11-21,30-07-22,N.A.,N.A.,20-12-21,11-07-22,30-12-21,15-07-22,24-01-22,25-08-22,19-02-22,15-09-22,N.A.,N.A.,31-10-20,31-01-22,30-11-20,05-02-22,30-11-21,05-09-22,10-12-21,10-09-22,20-01-22,10-10-22,23-01-22,20-10-22,N.A.,N.A.,31-03-22,31-10-22,30-04-22,30-11-22,31-05-22,31-12-22,31-05-22,31-12-22,31-05-22,31-12-22,30-06-22,28-02-23
199,ENNORE SEZ (2X660 MW) UNIT-1,STATE,660,27-09-14,TAMILNADU,EPC,PSSR,TANGEDCO,28-08-15,15-09-17,N.A.,N.A.,28-01-16,30-11-18,28-12-16,15-02-20,30-05-17,17-09-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-06-17,21-12-22,15-07-17,05-03-23,N.A.,N.A.,27-04-16,02-04-22,27-05-16,11-03-22,27-04-17,25-01-23,10-06-17,26-01-23,12-07-17,24-02-23,30-07-17,20-03-23,12-08-17,25-03-23,27-09-17,30-03-23,27-10-17,21-04-23,27-10-17,21-04-23,27-01-18,11-06-23,27-11-17,21-05-23,N.A.,N.A.
200,ENNORE SEZ (2X660 MW) UNIT-2,STATE,660,27-09-14,TAMILNADU,EPC,PSSR,TANGEDCO,28-10-15,08-06-18,N.A.,N.A.,28-03-16,16-05-19,27-02-17,29-03-21,29-07-17,17-11-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-08-17,21-02-23,15-09-17,05-05-23,N.A.,N.A.,27-06-16,08-05-22,27-07-16,11-05-22,20-06-17,25-03-23,10-08-17,26-03-23,12-09-17,24-04-23,30-09-17,20-05-23,12-10-17,25-05-23,27-11-17,30-06-23,27-12-17,21-07-23,27-12-17,21-07-23,27-03-18,11-08-23,27-01-18,30-09-23,N.A.,N.A.
201,KRISHNAPATNAM SDSTPS STAGE-II (1X800MW),CENTRAL,800,15-12-15,ANDHRA PRADESH,BTG,PSSR,APPDCL (ANDHRA PRADESH POWER DEVELOPMENT CORP. LTD,25-10-16,27-05-17,N.A.,N.A.,06-04-17,04-02-18,27-03-18,01-07-19,11-12-18,31-12-19,N.A.,N.A.,12-12-18,13-11-20,25-12-18,07-12-20,27-12-18,20-03-21,20-01-19,04-06-21,N.A.,N.A.,26-08-17,24-08-18,23-11-17,03-10-18,14-11-18,30-12-20,30-11-18,19-03-20,14-01-19,09-09-20,14-02-19,08-03-21,N.A.,N.A.,14-03-19,10-11-21,N.A.,N.A.,14-04-19,31-01-22,14-04-19,31-01-22,14-04-19,31-01-22,N.A.,N.A.
202,KHURJA TG PKG UNIT-1 (2X660 MW),CENTRAL,660,03-10-19,UTTAR PRADESH,TG,PSNR,THDC INDIA LTD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-09-21,20-03-22,03-09-21,07-04-22,04-08-22,04-08-22,N.A.,N.A.,N.A.,N.A.,09-11-22,09-11-22,N.A.,N.A.,02-04-23,02-04-23,02-06-23,02-06-23,05-06-23,05-06-23,05-06-23,05-06-23,02-07-23,02-07-23,02-08-23,02-08-23
203,KHURJA TG PKG UNIT-2 (2X660 MW),CENTRAL,660,03-10-19,UTTAR PRADESH,TG PKG,PSNR,THDC INDIA LTD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-03-22,30-06-22,03-03-22,30-06-22,04-02-23,04-02-23,N.A.,N.A.,N.A.,N.A.,09-05-23,09-05-23,N.A.,N.A.,02-10-23,02-10-23,02-12-23,02-12-23,05-12-23,05-12-23,05-12-23,05-12-23,02-01-24,02-01-24,02-02-24,02-02-24
204,NABINAGAR SG PKG UNIT-3 (3X660 MW),CENTRAL,0,31-01-13,BIHAR,SG WITH ESP,PSER,NPGCL (NTPC-BSEB JV),31-01-15,29-04-15,N.A.,N.A.,31-12-15,31-08-16,31-08-16,04-07-19,31-07-17,11-12-20,N.A.,N.A.,05-01-17,04-01-21,10-01-17,07-01-21,05-09-17,22-01-21,30-09-17,17-02-21,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-17,28-03-21,31-01-18,20-01-22,31-01-18,25-01-22,31-01-18,25-01-22,31-03-18,24-02-22,N.A.,N.A.
205,NORTH CHENNAI STAGE III (1X800 MW),STATE,800,29-01-16,TAMILNADU,BTG & ITS CIVIL WORKS,PSSR,TANGEDCO,29-11-16,30-08-17,N.A.,N.A.,13-05-17,31-07-18,28-02-18,31-12-19,29-10-18,23-02-21,N.A.,N.A.,15-11-18,15-03-22,29-11-18,30-03-22,31-12-18,10-05-22,29-01-19,25-06-22,N.A.,N.A.,29-08-17,14-11-18,28-10-17,30-01-19,15-11-18,01-02-20,20-11-18,03-11-20,29-12-18,17-02-21,15-01-19,10-05-22,N.A.,N.A.,28-02-19,31-08-22,28-03-19,30-09-22,28-04-19,30-10-22,28-04-19,30-09-22,28-04-19,30-10-22,N.A.,N.A.
206,NORTH KARANPURA UNIT-1 (3X660 MW),CENTRAL,660,28-02-14,JHARKHAND,EPC,PSER,NTPC,28-06-15,29-04-16,N.A.,N.A.,28-12-15,12-08-17,28-11-16,05-01-19,28-06-17,24-12-20,N.A.,N.A.,28-05-17,10-11-20,28-06-17,12-11-20,28-07-17,25-01-21,28-08-17,08-02-21,N.A.,N.A.,28-03-16,27-12-18,28-05-16,25-11-17,28-04-17,28-08-19,28-05-17,17-07-20,28-06-17,16-10-20,28-07-17,25-01-21,N.A.,N.A.,28-10-17,26-03-22,28-11-17,27-05-22,28-11-17,27-05-22,28-11-17,27-05-22,28-02-18,27-05-22,N.A.,N.A.
207,NORTH KARANPURA UNIT-2 (3X660 MW),CENTRAL,660,28-02-14,JHARKHAND,EPC,PSER,NTPC,28-12-15,27-07-16,N.A.,N.A.,28-06-16,25-10-17,28-05-17,22-10-19,28-12-17,30-11-22,N.A.,N.A.,28-11-17,23-11-22,28-12-17,30-12-22,28-01-18,02-01-23,28-02-18,24-01-23,N.A.,N.A.,28-09-16,03-09-20,28-11-16,31-01-18,28-10-17,05-11-21,28-11-17,21-09-22,28-12-17,25-10-22,28-01-18,24-11-22,N.A.,N.A.,28-04-18,30-05-23,28-05-18,24-06-23,28-05-18,24-06-23,28-05-18,25-07-23,28-07-18,25-07-23,N.A.,N.A.
208,NORTH KARANPURA UNIT-3 (3X660 MW),CENTRAL,660,28-02-14,JHARKHAND,EPC,PSER,NTPC,28-06-16,28-06-17,N.A.,N.A.,28-12-16,20-01-18,28-11-17,18-11-22,28-06-18,24-05-23,N.A.,N.A.,28-05-18,20-04-23,28-06-18,24-05-23,28-07-18,22-06-23,28-08-18,20-07-23,N.A.,N.A.,28-03-17,24-02-22,28-05-17,23-03-22,28-04-18,28-12-22,28-05-18,06-04-23,28-06-18,24-05-23,28-07-18,23-06-23,N.A.,N.A.,28-10-18,27-12-23,28-11-18,25-01-24,28-11-18,25-01-24,28-11-18,23-02-24,28-01-19,23-02-24,N.A.,N.A.
209,NTPC TELANGANA (KARIMNAGAR) SG PKG. UNIT-1 (2X800 MW),CENTRAL,0,05-02-16,TELANGANA,SG PKG + ASSCIATED CIVIL,PSWR,NTPC,05-04-17,28-12-17,N.A.,N.A.,04-01-18,09-03-19,05-11-18,05-11-21,15-03-19,10-05-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-05-19,05-06-22,05-06-19,30-06-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-08-19,25-07-22,05-10-19,27-07-22,05-11-19,27-07-22,N.A.,N.A.,05-11-19,26-08-22,05-12-19,30-09-22
210,NTPC TELANGANA (KARIMNAGAR) SG PKG. UNIT-2 (2X800 MW),CENTRAL,0,05-02-16,TELANGANA,SG PKG + ASSCIATED CIVIL,PSWR,NTPC,05-10-17,28-12-17,N.A.,N.A.,04-07-18,22-05-19,05-05-19,31-03-22,15-09-19,30-06-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-11-19,05-07-22,05-12-19,31-07-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-02-20,25-08-22,05-04-20,31-08-22,05-05-20,31-08-22,N.A.,N.A.,05-05-20,30-09-22,05-06-20,31-10-22
211,PANKI TPS (1X660 MW),STATE,660,31-03-18,UTTAR PRADESH,EPC,PSNR,UPRVUNL,30-04-19,21-04-19,N.A.,N.A.,30-10-19,23-02-20,30-09-20,17-12-21,28-02-21,30-06-22,N.A.,N.A.,03-03-21,15-07-22,10-03-21,23-07-22,09-04-21,26-08-22,30-04-21,25-09-22,N.A.,N.A.,28-02-20,28-08-21,30-04-20,04-10-21,31-01-21,10-07-22,01-02-21,06-04-22,17-04-21,30-09-22,17-05-21,20-10-22,N.A.,N.A.,30-05-21,28-10-22,30-06-21,31-12-22,31-07-21,31-01-23,30-09-21,31-01-23,30-09-21,31-03-23,30-01-22,30-06-23
212,PATRATU (3X800 MW) UNIT-1,CENTRAL,800,08-03-18,JHARKHAND,EPC,PSWR,PVUNL,08-05-19,27-08-19,N.A.,N.A.,02-02-20,18-03-21,08-01-21,30-09-22,08-07-21,30-04-23,N.A.,N.A.,20-07-21,20-05-23,30-07-21,30-05-23,08-08-21,08-06-23,08-09-21,08-07-23,N.A.,N.A.,08-03-20,31-03-22,08-06-20,31-03-22,08-05-21,28-02-23,08-06-21,31-03-23,08-07-21,30-04-23,08-08-21,31-05-23,N.A.,N.A.,08-11-21,30-01-24,08-12-21,15-02-24,08-12-21,28-02-24,08-12-21,30-03-24,08-02-22,30-03-24,08-03-22,30-04-24
213,PATRATU (3X800 MW) UNIT-2,CENTRAL,800,08-03-18,JHARKHAND,EPC,PSWR,PVUNL,08-11-19,30-12-19,N.A.,N.A.,02-08-20,13-05-21,08-07-21,30-11-22,08-01-22,30-06-23,N.A.,N.A.,15-01-22,15-07-23,23-01-22,25-07-23,08-02-22,08-08-23,08-03-22,08-09-23,N.A.,N.A.,08-09-20,31-05-22,08-12-20,31-05-22,08-11-21,30-04-23,08-12-21,31-05-23,08-01-22,30-06-23,08-02-22,31-07-23,N.A.,N.A.,08-05-22,30-03-24,08-06-22,25-04-24,08-06-22,30-04-24,08-06-22,31-05-24,08-08-22,31-05-24,08-09-22,29-06-24
214,PATRATU (3X800 MW) UNIT-3,CENTRAL,800,08-03-18,JHARKHAND,EPC,PSWR,PVUNL,08-05-20,22-01-21,N.A.,N.A.,02-02-21,31-01-22,08-01-22,31-03-23,08-07-22,31-10-23,N.A.,N.A.,13-07-22,13-12-23,20-07-22,31-12-23,25-07-22,08-01-24,08-09-22,31-01-24,N.A.,N.A.,08-03-21,30-09-22,08-06-21,30-09-22,08-05-22,30-09-23,08-07-22,31-10-23,08-07-22,30-11-23,08-08-22,31-12-23,N.A.,N.A.,08-11-22,31-05-24,08-12-22,29-06-24,08-12-22,31-10-24,08-12-22,31-10-24,08-02-23,31-10-24,08-03-23,30-11-24
215,SAGARDIGHI TPEP UNIT-5 (1X660 MW),STATE,660,01-07-20,WEST BENGAL,EPC,PSER,WBPDCL,29-04-21,28-04-21,N.A.,N.A.,30-12-21,28-02-22,30-12-22,01-10-22,13-06-23,15-04-23,N.A.,N.A.,14-06-23,15-04-23,28-06-23,30-04-23,13-07-23,10-05-23,12-08-23,24-06-23,N.A.,N.A.,03-03-22,04-02-22,02-05-22,23-03-22,01-06-23,09-04-23,28-03-23,16-02-23,17-05-23,02-04-23,11-07-23,04-05-23,N.A.,N.A.,01-09-23,15-07-23,15-12-23,15-10-23,30-12-23,30-10-23,01-01-24,30-10-23,01-01-24,30-10-23,01-04-24,01-04-24
216,ROURKELA TPP (1X250 MW),CENTRAL,250,11-05-16,ORISSA,EPC,PSER,NSPCL,10-02-17,29-05-17,08-06-17,04-11-17,N.A.,N.A.,08-01-18,08-09-18,10-04-18,19-11-20,N.A.,N.A.,06-05-18,14-01-21,10-05-18,17-01-21,25-05-18,10-04-21,10-06-18,20-04-21,N.A.,N.A.,10-09-17,18-10-18,10-09-17,20-12-18,10-05-18,26-03-21,16-05-18,21-01-21,10-06-18,06-03-21,10-07-18,31-03-21,N.A.,N.A.,10-08-18,06-09-21,10-09-18,08-01-22,10-10-18,31-01-22,10-10-18,31-01-22,10-10-18,28-02-22,N.A.,N.A.
