0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
116,DB SUPER TPP (JANJGIR CHAMPA) UNIT-2 (2X600 MW),PRIVATE,600,24-06-2010,CHHATTISGARH,BTG,PSWR,D.B. POWER LTD.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-09-2011,05-08-2011,24-01-2012,24-02-2012,N.A.,N.A.,25-11-2012,04-03-2013,25-04-2013,24-12-2013,N.A.,N.A.,10-05-2013,09-01-2014,20-05-2013,13-01-2014,25-05-2013,28-02-2014,24-06-2013,07-03-2014,N.A.,N.A.,25-03-2012,15-12-2012,N.A.,N.A.,25-04-2013,16-01-2014,01-07-2013,20-01-2014,27-07-2013,02-03-2014,27-08-2013,26-03-2014,N.A.,N.A.,23-10-2013,30-03-2014,22-12-2013,24-03-2015,N.A.,N.A.,22-01-2014,21-03-2016,22-01-2014,21-03-2016,,
117,JINDAL POWER LTD-RAIGARH UNIT # 4 (4X600MW) (NUMBER AT SITE-4),PRIVATE,600,27-12-2008,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-09-2012,03-05-2013,31-01-2013,18-10-2013,N.A.,N.A.,16-11-2013,26-07-2014,02-05-2014,15-01-2015,N.A.,N.A.,08-05-2014,21-01-2015,28-05-2014,24-01-2015,10-06-2014,08-02-2015,30-06-2014,23-02-2015,N.A.,N.A.,15-03-2013,10-02-2014,N.A.,N.A.,14-04-2014,22-10-2014,14-05-2014,23-10-2014,30-06-2014,13-02-2015,15-07-2014,16-03-2015,N.A.,N.A.,14-08-2014,26-03-2015,15-09-2014,28-03-2015,N.A.,N.A.,30-11-2014,11-12-2016,15-11-2014,11-12-2016,N.A.,N.A.
118,SIKKA TPS UNIT-3 ( 2X250 MW ),STATE,250,10-07-2011,GUJARAT,EPC,PSWR,GSECL,N.A.,N.A.,N.A.,N.A.,01-08-2011,09-08-2011,15-12-2011,24-10-2011,13-05-2012,29-03-2012,N.A.,N.A.,13-01-2013,02-03-2013,13-06-2013,22-03-2014,N.A.,N.A.,13-07-2013,17-11-2014,20-07-2013,19-11-2014,13-05-2013,08-12-2014,22-09-2013,31-12-2014,N.A.,N.A.,13-06-2012,30-10-2012,N.A.,N.A.,03-05-2013,06-06-2014,03-06-2013,15-07-2014,18-06-2013,22-10-2014,13-07-2013,06-12-2014,N.A.,N.A.,27-08-2013,09-02-2015,10-10-2013,29-03-2015,N.A.,N.A.,10-10-2013,14-09-2015,10-10-2013,,N.A.,N.A.
119,CHANDRAPUR MEGA POWER PROJECT UNIT-8 (2X500 MW),STATE,500,09-02-2009,MAHARASHTRA,BTG,PSWR,MAHAGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,09-01-2010,01-06-2010,09-07-2010,29-03-2011,N.A.,N.A.,09-06-2011,05-06-2012,09-01-2012,30-03-2014,N.A.,N.A.,09-02-2012,24-05-2014,09-03-2012,27-06-2014,09-03-2012,21-09-2014,09-04-2012,18-10-2014,N.A.,N.A.,09-10-2010,25-04-2012,N.A.,N.A.,09-12-2011,23-11-2013,09-01-2012,03-03-2014,09-02-2012,09-08-2014,09-03-2012,15-12-2014,09-04-2012,11-01-2015,09-04-2012,11-01-2015,09-05-2012,29-03-2015,N.A.,N.A.,09-07-2012,04-06-2016,09-07-2012,10-11-2015,N.A.,N.A.
120,MUZAFFARPUR TPP STG.II UNIT-3 (2X195 MW) ,CENTRAL,195,12-03-2010,BIHAR,BTG,PSER,KANTI BIJALI UTPADAN NIGAM LTD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-12-2010,30-08-2011,11-04-2011,06-03-2012,N.A.,N.A.,11-01-2012,25-02-2013,11-05-2012,08-11-2014,N.A.,N.A.,11-05-2012,12-12-2014,30-05-2012,17-12-2014,20-06-2012,23-01-2015,11-07-2012,12-02-2015,N.A.,N.A.,11-08-2011,10-12-2012,N.A.,N.A.,11-06-2012,30-09-2014,20-06-2012,09-01-2015,20-07-2012,12-03-2015,20-08-2012,23-03-2015,N.A.,N.A.,11-09-2012,31-03-2015,11-11-2012,31-03-2015,N.A.,N.A.,11-11-2012,10-03-2017,11-11-2012,19-12-2017,N.A.,N.A.
121,KRISHNAPATNAM UNIT-1 (2X800 MW) ,STATE,800,29-08-2008,AHDHRA PRADESH,SG,PSSR,APGENCO/ APPDCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-01-2010,20-02-2011,N.A.,N.A.,27-09-2010,30-10-2011,30-07-2011,24-03-2013,18-01-2012,13-08-2013,N.A.,N.A.,N.A.,N.A.,29-02-2012,09-09-2013,N.A.,N.A.,,13-03-2014,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-05-2012,31-03-2014,28-07-2012,28-08-2014,N.A.,N.A.,22-08-2012,04-02-2015,28-07-2012,04-02-2015,N.A.,N.A.
122,KRISHNAPATNAM UNIT-2 (2X800 MW) ,STATE,800,29-08-2008,AHDHRA PRADESH,SG,PSSR,APGENCO/ APPDCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-07-2010,27-04-2011,N.A.,N.A.,27-03-2011,31-12-2011,30-01-2012,17-12-2013,18-07-2012,22-06-2014,N.A.,N.A.,,,N.A.,N.A.,24-04-2012,13-09-2014,29-05-2012,20-11-2014,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-2012,16-12-2014,28-01-2013,17-03-2015,N.A.,N.A.,22-02-2013,23-08-2015,28-01-2013,23-08-2015,N.A.,N.A.
123,ANPARA D TPP UNIT-6 (2 X 500 MW),STATE,500,13-01-2008,UTTAR PRADESH,"EPC EXCEPT SWITCH YARD, CHP & WATER SYSTEM",PSNR,UPRVUNL,N.A.,N.A.,N.A.,N.A.,01-06-2008,20-02-2009,13-02-2009,02-08-2010,12-08-2009,03-04-2011,N.A.,N.A.,11-06-2010,29-10-2012,12-11-2010,18-12-2014,N.A.,N.A.,13-11-2010,24-01-2015,28-11-2010,27-01-2015,11-01-2011,18-02-2015,10-02-2011,03-03-2015,N.A.,N.A.,13-11-2009,13-06-2012,13-01-2010,15-01-2013,12-11-2010,20-02-2014,27-11-2010,22-12-2014,06-01-2011,13-03-2015,27-01-2011,22-03-2015,N.A.,N.A.,18-02-2011,31-03-2015,12-04-2011,06-06-2015,N.A.,N.A.,12-04-2011,08-05-2016,12-04-2011,28-11-2016,12-04-2011,29-11-2016
124,BONGAIGAON PROJECT UNIT-1 (3 X 250 MW) ,CENTRAL,250,05-02-2008,ASSAM,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-11-2008,30-04-2009,05-03-2009,25-01-2010,N.A.,N.A.,05-12-2009,31-01-2011,05-05-2010,29-11-2014,N.A.,N.A.,10-05-2010,28-12-2014,17-05-2010,31-12-2014,20-05-2010,01-03-2015,20-06-2010,01-04-2015,N.A.,N.A.,05-07-2009,28-12-2011,06-09-2009,05-05-2012,05-05-2010,29-05-2015,11-05-2010,16-01-2015,04-06-2010,06-05-2015,12-07-2010,03-06-2015,N.A.,N.A.,05-08-2010,22-06-2015,05-11-2010,22-06-2015,N.A.,N.A.,05-11-2010,26-03-2016,05-11-2010,01-04-2016,N.A.,N.A.
125,TUTICORIN UNIT-2 (2X500 MW ),CENTRAL,500,28-01-2009,TAMILNADU,BTG + CIVIL,PSSR,NTPL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-04-2010,15-12-2010,29-09-2010,22-09-2011,N.A.,N.A.,31-08-2011,09-11-2012,31-03-2012,23-09-2014,N.A.,N.A.,01-04-2012,10-10-2014,13-04-2012,14-10-2014,15-04-2012,02-02-2015,10-05-2012,26-02-2015,N.A.,N.A.,15-02-2011,21-01-2013,N.A.,N.A.,14-03-2012,11-04-2014,30-03-2012,08-09-2014,14-05-2012,05-12-2014,31-05-2012,24-03-2015,N.A.,N.A.,28-06-2012,09-04-2015,28-08-2012,09-07-2015,N.A.,N.A.,31-08-2012,28-08-2015,28-09-2012,03-05-2016,N.A.,N.A.
126,VINDHYACHAL STPP STAGE-V UNIT-13 (1X500 MW),CENTRAL,500,03-05-2012,MADHYA PRADESH,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-03-2013,28-06-2013,02-08-2013,24-11-2013,N.A.,N.A.,02-07-2014,20-08-2014,02-01-2015,23-04-2015,N.A.,N.A.,25-01-2015,24-04-2015,02-02-2015,27-04-2015,02-02-2015,08-05-2015,02-03-2015,29-05-2015,N.A.,N.A.,02-12-2013,08-07-2014,02-02-2014,10-09-2014,02-01-2015,25-01-2015,01-02-2015,25-04-2015,02-03-2015,24-06-2015,22-04-2015,23-07-2015,N.A.,N.A.,02-05-2015,06-08-2015,02-05-2015,06-08-2015,N.A.,N.A.,02-08-2015,30-10-2015,02-08-2015,09-12-2015,N.A.,N.A.
127,SIKKA TPS UNIT-4 ( 2X250 MW ),STATE,250,10-07-2011,GUJARAT,EPC,PSWR,GSECL,N.A.,N.A.,N.A.,N.A.,01-08-2011,09-08-2011,15-03-2012,09-01-2012,13-08-2012,23-05-2012,N.A.,N.A.,13-04-2013,30-06-2013,13-09-2013,18-10-2014,N.A.,N.A.,13-09-2013,20-01-2015,20-09-2013,23-01-2015,13-11-2013,21-02-2015,13-11-2013,03-03-2015,N.A.,N.A.,13-09-2012,04-01-2013,N.A.,N.A.,03-08-2013,07-03-2014,18-09-2013,25-11-2014,03-10-2013,22-01-2015,13-10-2013,15-03-2015,N.A.,N.A.,27-11-2013,30-08-2015,10-01-2014,25-09-2015,N.A.,N.A.,10-01-2014,27-12-2015,10-01-2014,,N.A.,N.A.
128,HNPCL/VIZAG TPP UNIT-1 (2 X 520 MW),PRIVATE,520,30-06-2010,AHDHRA PRADESH,EPC,PSER,HINDUJA NATIONAL POWER CORPORATION LTD (HNPCL),30-06-2010,30-06-2010,30-08-2010,28-10-2010,N.A.,N.A.,30-06-2011,30-05-2011,15-11-2011,10-01-2012,N.A.,N.A.,30-09-2012,28-12-2012,15-02-2013,22-03-2014,N.A.,N.A.,17-02-2013,10-08-2014,04-03-2013,14-08-2014,15-03-2013,24-09-2014,15-04-2013,20-03-2015,N.A.,N.A.,15-02-2012,25-07-2012,15-03-2012,06-11-2012,31-01-2013,24-09-2013,01-03-2013,27-03-2014,31-03-2013,25-06-2014,30-04-2013,05-08-2014,15-05-2013,04-12-2015,15-05-2013,06-12-2015,15-06-2013,06-12-2015,N.A.,N.A.,30-06-2013,10-01-2016,30-06-2013,05-09-2016,30-06-2013,
129,SAGARDIGHI TPP UNIT-3 (2X500 MW),STATE,500,22-02-2011,WEST BENGAL,BTG+CIVIL,PSER,WBPDCL,N.A.,N.A.,N.A.,N.A.,09-09-2011,26-09-2011,04-03-2012,16-03-2012,22-08-2012,13-09-2012,N.A.,N.A.,08-07-2013,31-08-2013,22-04-2014,30-01-2015,N.A.,N.A.,25-04-2014,13-02-2015,05-05-2014,17-02-2015,07-05-2014,27-02-2015,01-06-2014,11-03-2015,N.A.,N.A.,25-11-2012,14-06-2013,N.A.,N.A.,08-04-2014,24-07-2014,24-04-2014,19-01-2015,08-06-2014,24-02-2015,25-06-2014,16-03-2015,N.A.,N.A.,22-08-2014,31-03-2015,15-09-2014,14-12-2015,N.A.,N.A.,22-11-2014,01-07-2016,22-09-2014,28-09-2017,N.A.,N.A.
130,BARA PRAYAGRAJ STPP UNIT-1 (3X660 MW) ,PRIVATE,660,21-10-2009,UTTAR PRADESH ,BTG,PSNR,"PPGCL,(JP ASSOCIATES)",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-11-2010,12-07-2011,N.A.,N.A.,20-05-2011,10-03-2012,20-06-2012,24-10-2013,20-02-2013,31-03-2015,N.A.,N.A.,21-02-2013,06-04-2015,20-03-2013,04-05-2015,01-05-2013,30-06-2015,20-05-2013,18-08-2015,N.A.,N.A.,21-02-2012,31-01-2013,21-03-2012,09-02-2013,20-02-2013,20-02-2014,21-03-2013,18-12-2014,20-04-2013,18-03-2015,20-05-2013,29-06-2015,N.A.,N.A.,20-07-2013,31-10-2015,20-08-2013,25-12-2015,N.A.,N.A.,20-09-2013,29-02-2016,20-09-2013,07-03-2016,N.A.,N.A.
131,KAKATIYA STG -2 (1X600 MW),STATE,600,21-01-2009,TELANGANA,BTG,PSSR,APGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,21-01-2010,05-05-2011,21-07-2010,07-04-2012,N.A.,N.A.,21-07-2011,24-06-2013,21-01-2012,31-05-2015,N.A.,N.A.,01-02-2012,20-07-2015,06-02-2012,26-07-2015,20-03-2012,15-08-2015,21-04-2012,30-08-2015,N.A.,N.A.,21-05-2010,06-05-2013,21-07-2010,06-05-2013,21-01-2012,17-11-2014,30-01-2012,25-06-2015,21-02-2012,23-08-2015,21-03-2012,26-09-2015,N.A.,N.A.,21-05-2012,22-10-2015,21-07-2012,31-12-2015,N.A.,N.A.,21-07-2012,24-03-2016,21-07-2012,24-03-2016,N.A.,N.A.
132,LALITPUR STP PROJECT UNIT-2 (3 X 660 MW),PRIVATE,660,21-03-2011,UTTAR PRADESH,BTG,PSNR,LALITPUR POWER GENERATION COMPANY LIMITED (LPGCL),21-03-2011,21-03-2011,20-12-2011,20-12-2011,N.A.,N.A.,20-06-2012,27-09-2012,N.A.,N.A.,,27-04-2013,20-01-2014,29-09-2014,05-09-2014,17-08-2015,N.A.,N.A.,,18-08-2015,02-10-2014,23-08-2015,,24-09-2015,02-12-2014,01-11-2015,N.A.,N.A.,20-05-2013,24-06-2014,20-07-2013,24-07-2014,05-09-2014,02-11-2015,,27-07-2015,05-11-2014,05-11-2015,05-12-2014,05-11-2015,N.A.,N.A.,20-01-2015,23-12-2015,05-02-2015,08-01-2016,N.A.,N.A.,20-02-2015,14-10-2016,20-02-2015,17-01-2017,20-02-2015,
133,GOINDWAL THERMAL POWER PROJECT UNIT-1 (2X270MW),PRIVATE,270,19-10-2009,PUNJAB,BTG,PSNR,GVK-POWER (GOINDWAL SAHIB) LTD.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-07-2010,06-09-2010,19-12-2010,08-03-2011,N.A.,N.A.,31-08-2011,10-04-2012,31-12-2011,19-01-2013,N.A.,N.A.,15-01-2012,29-01-2013,31-01-2012,03-02-2013,04-02-2012,11-03-2013,19-02-2012,23-03-2013,N.A.,N.A.,28-02-2011,18-08-2011,N.A.,N.A.,30-11-2011,09-11-2012,05-01-2012,05-12-2012,19-01-2012,04-02-2013,02-02-2012,02-03-2013,N.A.,N.A.,20-03-2012,06-07-2013,18-07-2012,14-02-2016,N.A.,N.A.,18-07-2012,,18-07-2012,,N.A.,N.A.
134,BELLARY UNIT-3 (700 MW),STATE,700,29-09-2010,KARNATAKA,EPC,PSSR,KPCL,28-09-2010,28-09-2010,27-07-2011,27-06-2011,27-07-2011,27-06-2011,27-01-2012,26-11-2012,N.A.,N.A.,27-02-2013,27-02-2014,27-08-2013,30-11-2014,27-03-2014,28-03-2015,N.A.,N.A.,10-04-2014,03-05-2015,10-04-2014,04-05-2015,15-04-2014,23-07-2015,15-05-2014,10-10-2015,N.A.,N.A.,27-12-2012,07-11-2013,27-12-2012,07-11-2013,27-02-2014,12-06-2015,01-03-2014,25-05-2015,27-03-2014,29-09-2015,27-04-2014,05-11-2015,N.A.,N.A.,27-05-2014,25-12-2015,27-05-2014,01-03-2016,N.A.,N.A.,27-05-2014,16-09-2016,27-05-2014,31-01-2022,N.A.,N.A.
135,ANPARA D TPP UNIT-7 (2 X 500 MW),STATE,500,13-01-2008,UTTAR PRADESH,"EPC EXCEPT SWITCH YARD, CHP & WATER SYSTEM",PSNR,UPRVUNL,N.A.,N.A.,N.A.,N.A.,01-09-2008,20-02-2009,13-05-2009,27-11-2010,12-11-2009,05-12-2011,N.A.,N.A.,11-09-2010,03-07-2013,12-02-2011,31-08-2015,N.A.,N.A.,13-02-2011,15-10-2015,28-02-2011,19-10-2015,11-04-2011,31-10-2015,10-05-2011,28-11-2015,N.A.,N.A.,13-02-2010,25-10-2012,13-04-2010,07-10-2013,12-02-2011,30-03-2014,27-02-2011,11-09-2015,06-04-2011,05-01-2016,27-04-2011,20-01-2016,N.A.,N.A.,18-05-2011,23-02-2016,12-07-2011,06-03-2016,N.A.,N.A.,12-07-2011,18-10-2016,12-07-2011,10-03-2017,12-07-2011,11-03-2017
136,SINGARENI (ADILABAD) UNIT-1 (2X600 MW),CENTRAL,600,11-11-2011,TELANGANA,BTG + CIVIL+SWITCHYARD,PSER,SCCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-08-2012,14-02-2013,08-02-2013,12-09-2013,N.A.,N.A.,10-12-2013,27-08-2014,28-05-2014,03-07-2015,N.A.,N.A.,,04-11-2015,,14-11-2015,,20-12-2015,,05-01-2016,N.A.,N.A.,14-05-2013,31-07-2014,14-07-2013,27-10-2014,09-05-2014,31-07-2015,,05-08-2015,,16-10-2015,11-09-2014,27-12-2015,N.A.,N.A.,09-11-2014,13-03-2016,09-12-2014,13-03-2016,N.A.,N.A.,09-02-2015,25-09-2016,09-02-2015,25-09-2016,N.A.,N.A.
137,GOINDWAL THERMAL POWER PROJECT UNIT-2 (2X270MW),PRIVATE,270,19-10-2009,PUNJAB,BTG,PSNR,GVK-POWER (GOINDWAL SAHIB) LTD.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-10-2010,19-11-2010,19-03-2011,24-07-2011,N.A.,N.A.,30-11-2011,26-09-2012,30-03-2012,25-09-2013,N.A.,N.A.,15-04-2012,26-09-2013,30-04-2012,29-09-2013,04-05-2012,19-12-2013,19-05-2012,30-12-2013,N.A.,N.A.,28-05-2011,05-03-2012,N.A.,N.A.,29-02-2012,27-12-2013,19-03-2012,30-09-2013,19-04-2012,28-11-2013,02-05-2012,27-12-2013,N.A.,N.A.,20-06-2012,04-03-2014,18-10-2012,15-03-2016,N.A.,N.A.,18-10-2012,,18-10-2012,,N.A.,N.A.
138,NABINAGAR UNIT-1 (4X250 MW ),CENTRAL,250,22-01-2008,BIHAR,BTG,PSER,BRBCL,01-10-2010,01-10-2010,N.A.,N.A.,N.A.,N.A.,31-05-2011,15-07-2011,30-09-2011,20-10-2012,N.A.,N.A.,30-06-2012,11-04-2014,30-11-2012,30-03-2015,N.A.,N.A.,03-12-2012,02-09-2015,08-12-2012,13-09-2015,10-12-2012,18-12-2015,31-12-2012,08-01-2016,N.A.,N.A.,28-02-2012,06-02-2014,30-04-2012,01-09-2014,31-12-2012,17-12-2015,03-01-2013,14-08-2015,31-01-2013,30-12-2015,10-02-2013,08-02-2016,N.A.,N.A.,28-02-2013,20-03-2016,31-05-2013,20-03-2016,31-05-2013,20-03-2016,31-05-2013,05-01-2017,31-05-2013,05-09-2017,N.A.,N.A.
139,CHANDRAPUR MEGA POWER PROJECT UNIT-9 (2X500 MW),STATE,500,09-02-2009,MAHARASHTRA,BTG,PSWR,MAHAGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,09-04-2010,05-01-2011,09-10-2010,25-09-2011,N.A.,N.A.,09-09-2011,30-10-2012,09-04-2012,07-05-2015,N.A.,N.A.,09-05-2012,19-08-2015,09-06-2012,21-08-2015,09-06-2012,09-12-2015,09-07-2012,26-12-2015,N.A.,N.A.,09-01-2011,14-11-2013,N.A.,N.A.,09-03-2012,23-05-2015,09-04-2012,17-06-2015,09-05-2012,21-11-2015,09-06-2012,02-03-2016,N.A.,N.A.,09-07-2012,21-03-2016,09-08-2012,21-03-2016,N.A.,N.A.,09-10-2012,24-11-2016,09-10-2012,03-12-2016,N.A.,N.A.
140,BOKARO ` A` TPS (1X500 MW),CENTRAL,500,16-09-2008,JHARKHAND,EPC,PSER,DVC,16-09-2008,16-09-2008,N.A.,N.A.,N.A.,N.A.,16-07-2009,24-11-2009,16-12-2009,01-08-2012,N.A.,N.A.,15-11-2010,10-12-2013,14-06-2011,28-09-2014,N.A.,N.A.,30-06-2011,20-01-2015,14-07-2011,24-01-2015,15-07-2011,24-02-2015,14-08-2011,04-03-2015,N.A.,N.A.,15-06-2010,15-11-2012,16-07-2010,15-12-2012,16-05-2011,31-07-2014,05-06-2011,06-09-2014,15-07-2011,05-03-2015,15-08-2011,19-03-2015,N.A.,N.A.,12-09-2011,31-03-2015,16-12-2011,22-03-2016,N.A.,N.A.,16-12-2011,23-02-2017,16-12-2011,24-03-2017,16-12-2011,
141,JHABUA PHASE-I (1 X 600 MW),PRIVATE,600,18-03-2010,MADHYA PRADESH,BTG,PSWR,AVANTHA POWER LIMITED (JPL),N.A.,N.A.,18-09-2010,27-09-2010,N.A.,N.A.,18-12-2010,15-04-2011,18-06-2011,17-01-2012,N.A.,N.A.,18-06-2012,22-12-2012,18-11-2012,12-03-2014,N.A.,N.A.,05-12-2012,17-05-2015,30-12-2012,21-05-2015,05-01-2013,10-06-2015,30-01-2013,27-06-2015,N.A.,N.A.,18-09-2011,30-07-2012,18-11-2011,30-08-2012,18-11-2012,23-12-2013,05-01-2013,03-06-2014,30-01-2013,30-05-2015,10-02-2013,12-06-2015,N.A.,N.A.,18-02-2013,23-02-2016,18-04-2013,22-03-2016,N.A.,N.A.,18-04-2013,02-05-2016,18-04-2013,02-05-2016,18-04-2013,
142,LALITPUR STP PROJECT UNIT-1 (3 X 660 MW),PRIVATE,660,21-03-2011,UTTAR PRADESH,BTG,PSNR,LALITPUR POWER GENERATION COMPANY LIMITED (LPGCL),21-03-2011,21-03-2011,20-12-2011,20-12-2011,N.A.,N.A.,20-02-2012,23-03-2012,N.A.,N.A.,,23-01-2013,20-09-2013,27-04-2014,05-05-2014,15-01-2015,N.A.,N.A.,,29-01-2015,02-06-2014,03-02-2015,,15-03-2015,02-08-2014,10-04-2015,N.A.,N.A.,20-01-2013,10-12-2013,20-03-2013,31-12-2013,05-05-2014,30-10-2014,N.A.,N.A.,05-07-2014,09-03-2015,05-08-2014,17-04-2015,N.A.,N.A.,20-09-2014,09-06-2015,05-10-2014,26-03-2016,N.A.,N.A.,20-10-2014,01-10-2015,20-10-2014,31-03-2016,N.A.,N.A.
143,MAUDA THERMAL POWER PROJECT UNIT-3 (2X660 MW),CENTRAL,660,30-03-2012,MAHARASHTRA,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-01-2013,12-05-2013,N.A.,N.A.,08-09-2013,15-06-2014,30-08-2014,22-11-2015,28-07-2015,03-01-2016,N.A.,N.A.,22-07-2015,06-01-2016,28-07-2015,10-01-2016,30-08-2015,24-01-2016,30-09-2015,03-03-2016,N.A.,N.A.,27-02-2014,15-03-2014,28-04-2014,15-01-2015,31-05-2015,19-10-2015,30-06-2015,22-11-2015,31-07-2015,12-03-2016,31-08-2015,13-03-2016,N.A.,N.A.,31-12-2015,28-03-2016,29-02-2016,28-03-2016,N.A.,N.A.,31-05-2016,05-01-2017,30-04-2016,18-03-2017,N.A.,N.A.
144,YERMARUS TPS UNIT-1 (2X800 MW) ,STATE,800,09-04-2010,KARNATAKA,BTG + CIVIL+CHP+AHP+MRS,PSSR,RPCL,N.A.,N.A.,31-12-2010,09-09-2011,20-12-2010,18-03-2012,13-07-2011,29-10-2012,N.A.,N.A.,21-01-2011,29-04-2013,09-01-2013,31-07-2014,08-09-2013,10-08-2015,N.A.,N.A.,15-10-2013,02-09-2015,31-10-2013,06-09-2015,15-11-2013,03-11-2015,08-12-2013,12-01-2016,N.A.,N.A.,09-01-2012,30-10-2013,23-04-2012,09-01-2014,08-09-2013,31-12-2014,10-11-2013,04-02-2015,30-11-2013,31-03-2015,08-12-2013,12-09-2015,N.A.,N.A.,08-01-2014,09-02-2016,08-04-2014,29-03-2016,N.A.,N.A.,08-04-2014,07-03-2017,08-04-2014,12-01-2018,N.A.,N.A.
145,PARLI TPS UNIT-8 (1X250 MW),STATE,250,20-01-2009,MAHARASHTRA,BTG,PSWR,MAHAGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-01-2010,20-08-2010,20-07-2010,10-04-2011,N.A.,N.A.,20-06-2011,25-12-2012,20-08-2011,22-05-2015,N.A.,N.A.,20-09-2011,03-09-2015,19-10-2011,06-09-2015,20-10-2011,17-12-2015,19-11-2011,06-01-2016,N.A.,N.A.,20-07-2010,24-04-2012,N.A.,N.A.,20-08-2011,11-12-2014,20-08-2011,21-05-2015,20-09-2011,10-10-2015,20-10-2011,05-02-2016,N.A.,N.A.,20-11-2011,03-03-2016,19-12-2011,30-03-2016,N.A.,N.A.,20-02-2012,18-11-2016,19-01-2012,24-04-2017,N.A.,N.A.
